0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18
0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18
-+-+-+-+-
() : 1363
(0,) : 2976
(0, 1) : 2
(0, 1, 6) : 4
(0, 1, 8) : 1
(0, 1, 9) : 8
(0, 1, 11) : 1
(0, 1, 13) : 3
(0, 1, 14) : 1
(0, 1, 17) : 1
(0, 1, 18) : 1
(0, 3) : 7
(0, 3, 4) : 8
(0, 3, 5) : 1
(0, 3, 6) : 14
(0, 3, 7) : 9
(0, 3, 8) : 1
(0, 3, 10) : 4
(0, 3, 11) : 5
(0, 3, 14) : 1
(0, 3, 16) : 11
(0, 3, 17) : 1
(0, 4) : 78
(0, 4, 1) : 3
(0, 4, 3) : 5
(0, 4, 6) : 154
(0, 4, 7) : 76
(0, 4, 8) : 4
(0, 4, 9) : 4
(0, 4, 10) : 5
(0, 4, 11) : 19
(0, 4, 12) : 5
(0, 4, 13) : 3
(0, 4, 14) : 1
(0, 4, 15) : 7
(0, 4, 16) : 30
(0, 4, 17) : 2
(0, 4, 18) : 2
(0, 5) : 9
(0, 5, 3) : 1
(0, 5, 4) : 4
(0, 5, 6) : 6
(0, 5, 7) : 5
(0, 5, 8) : 1
(0, 5, 10) : 2
(0, 5, 11) : 1
(0, 5, 13) : 2
(0, 5, 14) : 1
(0, 5, 15) : 1
(0, 5, 16) : 7
(0, 5, 17) : 1
(0, 6) : 677
(0, 6, 1) : 6
(0, 6, 3) : 25
(0, 6, 4) : 143
(0, 6, 5) : 20
(0, 6, 7) : 258
(0, 6, 8) : 12
(0, 6, 9) : 12
(0, 6, 10) : 23
(0, 6, 11) : 16
(0, 6, 12) : 22
(0, 6, 13) : 9
(0, 6, 14) : 8
(0, 6, 15) : 13
(0, 6, 16) : 159
(0, 6, 17) : 3
(0, 6, 18) : 5
(0, 7) : 186
(0, 7, 1) : 1
(0, 7, 3) : 11
(0, 7, 4) : 71
(0, 7, 5) : 11
(0, 7, 6) : 242
(0, 7, 8) : 3
(0, 7, 9) : 6
(0, 7, 10) : 10
(0, 7, 11) : 17
(0, 7, 12) : 2
(0, 7, 13) : 7
(0, 7, 14) : 5
(0, 7, 15) : 20
(0, 7, 16) : 282
(0, 7, 17) : 4
(0, 7, 18) : 4
(0, 8) : 2
(0, 8, 1) : 1
(0, 8, 7) : 2
(0, 8, 10) : 2
(0, 8, 12) : 1
(0, 8, 13) : 1
(0, 8, 15) : 1
(0, 8, 16) : 2
(0, 8, 17) : 1
(0, 9) : 8
(0, 9, 1) : 6
(0, 9, 4) : 3
(0, 9, 5) : 2
(0, 9, 6) : 6
(0, 9, 7) : 4
(0, 9, 10) : 5
(0, 9, 12) : 1
(0, 9, 13) : 1
(0, 9, 15) : 1
(0, 9, 16) : 3
(0, 9, 17) : 2
(0, 9, 18) : 1
(0, 10) : 11
(0, 10, 1) : 3
(0, 10, 4) : 2
(0, 10, 5) : 5
(0, 10, 6) : 11
(0, 10, 7) : 9
(0, 10, 9) : 1
(0, 10, 11) : 1
(0, 10, 13) : 1
(0, 10, 14) : 4
(0, 10, 15) : 2
(0, 10, 16) : 11
(0, 11) : 12
(0, 11, 3) : 3
(0, 11, 4) : 10
(0, 11, 6) : 15
(0, 11, 7) : 11
(0, 11, 9) : 1
(0, 11, 12) : 4
(0, 11, 13) : 1
(0, 11, 14) : 1
(0, 11, 15) : 1
(0, 11, 16) : 7
(0, 11, 17) : 3
(0, 12) : 7
(0, 12, 6) : 6
(0, 12, 7) : 2
(0, 12, 8) : 2
(0, 12, 9) : 1
(0, 12, 11) : 3
(0, 12, 13) : 1
(0, 12, 14) : 3
(0, 12, 15) : 2
(0, 12, 16) : 2
(0, 13) : 7
(0, 13, 1) : 1
(0, 13, 3) : 3
(0, 13, 4) : 2
(0, 13, 6) : 13
(0, 13, 7) : 2
(0, 13, 8) : 2
(0, 13, 10) : 5
(0, 13, 16) : 2
(0, 14) : 5
(0, 14, 4) : 1
(0, 14, 5) : 2
(0, 14, 6) : 1
(0, 14, 7) : 4
(0, 14, 10) : 3
(0, 14, 13) : 2
(0, 14, 16) : 3
(0, 14, 17) : 2
(0, 15) : 13
(0, 15, 1) : 1
(0, 15, 3) : 1
(0, 15, 4) : 8
(0, 15, 5) : 1
(0, 15, 6) : 11
(0, 15, 7) : 13
(0, 15, 8) : 3
(0, 15, 10) : 6
(0, 15, 13) : 2
(0, 15, 14) : 4
(0, 15, 16) : 22
(0, 15, 17) : 3
(0, 16) : 94
(0, 16, 1) : 1
(0, 16, 3) : 25
(0, 16, 4) : 21
(0, 16, 5) : 19
(0, 16, 6) : 144
(0, 16, 7) : 266
(0, 16, 8) : 4
(0, 16, 9) : 2
(0, 16, 10) : 35
(0, 16, 11) : 10
(0, 16, 12) : 2
(0, 16, 13) : 9
(0, 16, 14) : 6
(0, 16, 15) : 27
(0, 16, 17) : 5
(0, 16, 18) : 5
(0, 17) : 3
(0, 17, 1) : 1
(0, 17, 4) : 1
(0, 17, 6) : 4
(0, 17, 7) : 5
(0, 17, 9) : 1
(0, 17, 10) : 2
(0, 17, 12) : 1
(0, 17, 15) : 2
(0, 17, 16) : 1
(0, 18) : 7
